,LHS,RHS,support,confidence,coverage,lift,count
1,{},{Caucus},0.01658580616044229,0.01658580616044229,1.0,1.0000000000000002,882
2,{},{Teacher},0.022189627289480613,0.022189627289480613,1.0,1.0,1180
3,{},{Announcer},0.02431456617398172,0.02431456617398172,1.0,1.0,1293
4,{},{Quorum},0.030971454360825906,0.030971454360825906,1.0,1.0,1647
5,{},{Cleanup},0.034299898454247996,0.034299898454247996,1.0,1.0,1824
6,{},{Proofreader},0.041182443867764866,0.041182443867764866,1.0,1.0,2190
7,{},{Notable Question},0.04859152281018466,0.04859152281018466,1.0,1.0,2584
8,{},{Archaeologist},0.0672270487795705,0.0672270487795705,1.0,1.0,3575
9,{},{Popular Question},0.10541953439392229,0.10541953439392229,1.0,1.0,5606
10,{},{Curious},0.20179397495204784,0.20179397495204784,1.0,1.0,10731
11,{},{Steward},0.3538305314227688,0.3538305314227688,1.0,1.0,18816
